license_number,license_type,Dba,Premise_address,City,licensee,gov,Community Council
13424,Marijuana Concentrate Manufacturing Facility,"MIDNIGHT SUN MANUFACTURING, LLC",28011 Old Parks Highway,Willow,"Midnight Sun Manufacturing, LLC",Matanuska-Susitna Borough,Willow Area
13487,Standard Marijuana Cultivation Facility,THE CONNOISSEUR,"3200 W Top of the World Circle, Unit A",Wasilla,"THE CONNOISSEUR, LLC",Matanuska-Susitna Borough,Knik-Fairview
13503,Limited Marijuana Cultivation Facility,ALASKA GREENWORKS LLC,10263 Nigh Road #7,Anchorage,Alaska GreenWorks LLC,Anchorage (Municipality of),Bayshore/Klatt
13577,Standard Marijuana Cultivation Facility,FIBERFLITE,"120 jarvis st, Unit C",sitka,DARREN H PHILLIPS,Sitka (City and Borough of),
13588,Standard Marijuana Cultivation Facility,AKFUNDING LLC,12975 W. Horizon Way,Houston,AKfunding LLC,Houston,
13659,Limited Marijuana Cultivation Facility,"THE NOBLE DUDES, LLC",11740 E Weathervane Cir,Palmer,"The Noble Dudes, LLC",Matanuska-Susitna Borough,Greater Farm Loop Community Council
13663,Limited Marijuana Cultivation Facility,"ARCTIC FARM, LLC",2967 Rex St.,Houston,"Arctic Farm, LLC",Houston,
13697,Marijuana Product Manufacturing Facility,SPARKLE FARMS ALASKA,218 Kelly Drive,Ketchikan,SFA LLC,Ketchikan Gateway Borough,
13803,Limited Marijuana Cultivation Facility,"PEAK SEASON, LLC.",1145 Vicki Lane,North Pole,"Peak Season, LLC.",Fairbanks North Star Borough,
14073,Standard Marijuana Cultivation Facility,BLACK BEAR NURSERY,6209 Mike St.,Anchorage,Black Bear Enterprises LLC,Anchorage (Municipality of),Taku Campbell
14199,Limited Marijuana Cultivation Facility,"MATANUSKA CANNABIS COMPANY, LLC.",3550 S. Old Glenn Highway,Palmer,"MATANUSKA CANNABIS COMPANY, LLC.",Matanuska-Susitna Borough,Butte
14245,Limited Marijuana Cultivation Facility,CANNAFROST,4315 E Dimond Way,Wasilla,Pharma Initiative LLC,Matanuska-Susitna Borough,South Lakes
14396,Standard Marijuana Cultivation Facility,"ALASKA FRONTIER CANNABIS, LLC",6570 W Trevett Circle,Wasilla,"Alaska Frontier Cannabis, LLC",Matanuska-Susitna Borough,Meadow Lakes
14736,Limited Marijuana Cultivation Facility,THE HAPPY HARVEST COMPANY LLC,2301 South Knik-Goose Bay Road #2,Wasilla,The Happy Harvest Company LLC,Matanuska-Susitna Borough,Knik-Fairview
